"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Web Interface","Login feature","Story1","0","0","3","0","0"
"Web Interface","AddProject feature","Story1","0","0","1","0","0"
"Web Interface","Login feature","Story5","0","0","2","0","0"
"Web Interface","AddProject feature","Story5","0","0","2","0","0"
"Web Interface","Login feature","Story2","0","0","1","0","0"
"Web Interface","AddProject feature","Story2","0","0","1","0","0"
"Web Interface","DeleteProject","Story2","0","0","1","0","0"
"Web Interface","Login feature","Story4","0","0","1","0","0"
"Web Interface","AddProject feature","Story4","0","0","1","0","0"
"API","","API NFE","0","0","3","0","0"
"API","","API POST","0","0","2","0","0"
"API","","API AFE","0","0","2","0","0"
